FID,FlightIdx,ACID,ACT_DATE,DEP,ARR,Elap_Time,DT,ClustID,D40A100ACT,D40A100ACH,Efficiency,YEAR,MONTH,DAY,Hour,MedianID
20130101632288,471666,UAL386,01-JAN-13 00:00:00,IAH,BOS,2013-01-01 01:08:00,9780.0,0,1302.80889404,1255.46867265,0.0377072103964,2013,1,1,1,-2
20130101635086,22604,UAL1052,01-JAN-13 00:00:00,IAH,BOS,2013-01-01 23:36:00,10200.0,0,1312.54448172,1258.61837801,0.0428454761626,2013,1,1,23,-2
20130101663353,7544,UAL1634,01-JAN-13 00:00:00,IAH,BOS,2013-01-01 19:35:00,9540.0,0,1302.99330406,1256.05087217,0.0373730339445,2013,1,1,19,-2
20130102708353,26835,UAL646,02-JAN-13 00:00:00,IAH,BOS,2013-01-02 01:42:00,9360.0,0,1302.93073294,1255.86148992,0.0374796451648,2013,1,2,1,-2
20130102717674,45520,UAL1124,02-JAN-13 00:00:00,IAH,BOS,2013-01-02 13:34:00,10080.0,0,1306.25623726,1256.54865549,0.0395588197494,2013,1,2,13,-2
20130102719088,54047,UAL962,02-JAN-13 00:00:00,IAH,BOS,2013-01-02 16:23:00,10980.0,1,1336.31166218,1253.61526241,0.0659663313316,2013,1,2,16,-2
20130102726083,65380,UAL764,02-JAN-13 00:00:00,IAH,BOS,2013-01-02 19:36:00,11580.0,1,1347.16394828,1254.02571244,0.0742713924646,2013,1,2,19,-2
20130103780461,109668,UAL700,03-JAN-13 00:00:00,IAH,BOS,2013-01-03 13:39:00,9840.0,2,1282.13424083,1249.13299426,0.0264193218147,2013,1,3,13,-2
20130103781039,86176,UAL1445,03-JAN-13 00:00:00,IAH,BOS,2013-01-03 01:25:00,9840.0,0,1293.8692134,1255.12432172,0.0308693657017,2013,1,3,1,-2
20130103808696,133186,UAL1116,03-JAN-13 00:00:00,IAH,BOS,2013-01-03 19:03:00,10620.0,2,1292.16449631,1249.13299426,0.0344490956872,2013,1,3,19,-2
20130103818639,147312,UAL866,03-JAN-13 00:00:00,IAH,BOS,2013-01-04 00:04:00,10260.0,2,1292.00379791,1249.36878942,0.0341252389609,2013,1,4,0,-2
20130104843255,208799,UAL1011,04-JAN-13 00:00:00,IAH,BOS,2013-01-04 19:22:00,10680.0,2,1280.90942535,1248.75153881,0.0257520295578,2013,1,4,19,-2
20130104889397,223394,UAL866L,04-JAN-13 00:00:00,IAH,BOS,2013-01-04 22:06:00,10980.0,1,1338.07932912,1254.02571244,0.0670270281124,2013,1,4,22,-2
20130104891056,184194,UAL503,04-JAN-13 00:00:00,IAH,BOS,2013-01-04 13:30:00,11340.0,1,1332.57665637,1254.68180112,0.0620833546678,2013,1,4,13,-2
20130105915603,298192,UAL953,05-JAN-13 00:00:00,IAH,BOS,2013-01-05 22:28:00,10200.0,0,1289.50138159,1255.05704473,0.0274444392837,2013,1,5,22,-2
20130105920357,284426,UAL1634,05-JAN-13 00:00:00,IAH,BOS,2013-01-05 19:08:00,10320.0,2,1298.75081656,1248.50748529,0.0402427152892,2013,1,5,19,-2
20130105931856,237545,UAL497,05-JAN-13 00:00:00,IAH,BOS,2013-01-05 01:11:00,10440.0,0,1292.76135641,1256.35927324,0.0289742623401,2013,1,5,1,-2
20130106016192,363206,UAL866,06-JAN-13 00:00:00,IAH,BOS,2013-01-06 22:18:00,10560.0,1,1320.93957891,1252.25464937,0.0548490113957,2013,1,6,22,-2
20130106985000,309183,UAL668,06-JAN-13 00:00:00,IAH,BOS,2013-01-06 01:55:00,10320.0,1,1319.5832859,1257.94238732,0.049001368593,2013,1,6,1,-2
20130106987477,349460,UAL1634,06-JAN-13 00:00:00,IAH,BOS,2013-01-06 19:12:00,10620.0,2,1278.05048719,1248.59562241,0.0235903956825,2013,1,6,19,-2
20130107039514,373993,UAL693,07-JAN-13 00:00:00,IAH,BOS,2013-01-07 01:18:00,10440.0,2,1276.16328736,1249.13299426,0.0216392435583,2013,1,7,1,-2
20130107082905,414531,UAL999,07-JAN-13 00:00:00,IAH,BOS,2013-01-07 19:04:00,10860.0,0,1291.33712095,1256.03587036,0.0281052885657,2013,1,7,19,-2
20130107089172,393140,UAL503,07-JAN-13 00:00:00,IAH,BOS,2013-01-07 14:48:00,11700.0,0,1300.92958605,1256.05087217,0.035730012908,2013,1,7,14,-2
